date,net_pnl,transaction_cost,portfolio_value,invested_weight,cash_weight,corr_scale,regime,stop_active,in_regime,n_long,leader,daily_return
2021-02-01,1139.4140559295674,70.0,101139.41405592956,0.7,0.30000000000000004,0.7,Caution,False,True,4,USMV,0.011394140559295675
2021-02-02,853.7713624264557,10.113941405592946,101993.18541835602,0.6000000000000001,0.3999999999999999,0.4,Crisis,False,True,4,USMV,0.00844152964890942
2021-02-03,-236.03163234880034,0.3336522369965313,101757.15378600723,0.6000000000000001,0.3999999999999999,0.4,Crisis,False,True,4,USMV,-0.0023141902214412163
2021-02-04,641.1637891868482,0.9766157642299467,102398.31757519407,0.6000000000000001,0.3999999999999999,0.4,Crisis,False,True,4,USMV,0.006300921019618923
2021-02-05,319.7650317241592,1.7138692121964554,102718.08260691824,0.6000000000000002,0.3999999999999998,0.4,Crisis,False,True,4,USMV,0.0031227566946043467
2021-02-08,412.7230977022366,0.49003397929502945,103130.80570462048,0.6000000000000001,0.3999999999999999,0.4,Crisis,False,True,4,USMV,0.004018017930510309
2021-02-09,-12.447782555374058,0.8785043168478355,103118.3579220651,0.6000000000000001,0.3999999999999999,0.4,Crisis,False,True,4,USMV,-0.0001206989751541946
2021-02-10,-111.61956617145455,0.5243781099468485,103006.73835589364,0.6000000000000001,0.3999999999999999,0.4,Crisis,False,True,4,USMV,-0.0010824412686615366
2021-02-11,285.3370292199771,0.1623562365540965,103292.07538511363,0.6000000000000001,0.3999999999999999,0.4,Crisis,False,True,4,USMV,0.0027700811983204713
2021-02-12,235.33981729959086,0.12039879947898813,103527.41520241322,0.6000000000000002,0.3999999999999998,0.4,Crisis,False,True,4,USMV,0.0022783917974554305
2021-02-16,-258.29698266262386,1.1087863905800326,103269.1182197506,0.6000000000000001,0.3999999999999999,0.4,Crisis,False,True,4,USMV,-0.0024949621523691146
2021-02-17,-89.27296430712592,0.3554230330542174,103179.84525544348,0.6000000000000002,0.3999999999999998,0.4,Crisis,False,True,4,USMV,-0.0008644691253890472
2021-02-18,-175.6241654025405,1.1161331832016936,103004.22109004094,0.6000000000000001,0.3999999999999999,0.4,Crisis,False,True,4,QQQ,-0.00170211696836476
2021-02-19,-316.7836172257887,0.7769944583417582,102687.43747281515,0.6000000000000002,0.3999999999999998,0.4,Crisis,False,True,4,QQQ,-0.003075443063142751
2021-02-22,-982.5831023851093,3.8834011942980666,101704.85437043004,0.5905491310792209,0.4094508689207791,0.4,Crisis,False,True,4,USMV,-0.00956867876506542
2021-02-23,-58.15346889375717,0.59247429894729,101646.70090153629,0.5898751020555472,0.41012489794445284,0.4,Crisis,False,True,4,USMV,-0.0005717865607668071
2021-02-24,446.3994797877589,1.9069607016430714,102093.10038132404,0.5711144272404313,0.42888557275956873,0.4,Crisis,False,True,4,USMV,0.004391677012913382
2021-02-25,-1086.1282875418417,14.979064183554359,101006.9720937822,0.42439477500529854,0.5756052249947015,0.4,Crisis,False,True,4,USMV,-0.010638606169124902
2021-02-26,-88.86282239110955,0.9795434555063118,100918.10927139109,0.4240695137941264,0.5759304862058736,0.4,Crisis,False,True,4,USMV,-0.0008797691936414336
2021-03-01,930.9765301731071,26.872508179607735,101849.0858015642,0.3608562713296496,0.6391437286703504,0.4,Crisis,False,True,3,QUAL,0.009225069087149715
2021-03-02,-430.12798817312824,1.2731371307028594,101418.95781339107,0.34835604002484094,0.6516439599751591,0.4,Crisis,False,True,3,QUAL,-0.004223189484598421
2021-03-03,-779.7813316323565,2.063831834508282,100639.17648175871,0.32800647344473766,0.6719935265552623,0.4,Crisis,False,True,3,QUAL,-0.007688713712352863
2021-03-04,-555.2365817661466,1.411713894373649,100083.93989999256,0.31397899484519326,0.6860210051548068,0.4,Crisis,False,True,3,QUAL,-0.005517101800478124
2021-03-05,543.365849480502,1.4029194221758243,100627.30574947306,0.29996156683848535,0.7000384331615146,0.4,Crisis,False,True,3,QUAL,0.005429101312592735
2021-03-08,-472.1933470309026,0.5204205746837197,100155.11240244216,0.29478980385817277,0.7052101961418272,0.4,Crisis,False,True,3,QUAL,-0.004692497165794139
2021-03-09,1222.581075825206,16.377105307446588,101377.69347826736,0.4583072211382841,0.5416927788617159,0.7,Caution,False,True,3,QUAL,0.01220687637903739
2021-03-10,118.70032094431392,0.12585577958008032,101496.39379921168,0.4572389577161382,0.5427610422838618,0.7,Caution,False,True,3,QUAL,0.0011708721797834161
2021-03-11,766.6584275581781,1.9508181369938271,102263.05222676987,0.43801839170417634,0.5619816082958237,0.7,Caution,False,True,3,QUAL,0.007553553371313304
2021-03-12,-208.5388915521608,0.13078145077240758,102054.5133352177,0.4392972646492396,0.5607027353507603,0.7,Caution,False,True,3,QUAL,-0.002039239852627542
2021-03-15,461.3482107318862,0.5739225590493376,102515.86154594959,0.4336735784418087,0.5663264215581914,0.7,Caution,False,True,3,QUAL,0.004520605661177366
2021-03-16,29.387486169602674,0.09060963313969397,102545.2490321192,0.4339955793207452,0.5660044206792548,0.7,Caution,False,True,3,QUAL,0.00028666282199102074
2021-03-17,82.5618772345929,0.03339465463069399,102627.8109093538,0.4336699215750583,0.5663300784249417,0.7,Caution,False,True,3,QUAL,0.0008051263029136814
2021-03-18,-964.6388637635093,2.0882384797872326,101663.17204559028,0.41332223549188085,0.5866777645081191,0.7,Caution,False,True,3,QUAL,-0.009399390430489922
2021-03-19,36.12072342570105,0.08841662489270764,101699.29276901598,0.4135768163809483,0.5864231836190517,0.7,Caution,False,True,3,QUAL,0.0003552980169603887
2021-03-22,530.3212575304096,0.355636706780571,102229.61402654639,0.41707376013638137,0.5829262398636186,0.7,Caution,False,True,3,QUAL,0.005214601233608371
2021-03-23,-239.76790247913078,0.15206776417296233,101989.84612406726,0.4157254614370341,0.584274538562966,0.7,Caution,False,True,3,QUAL,-0.0023453859702225743
2021-03-24,-491.5177300326475,0.36530448934421617,101498.32839403462,0.41398212804333034,0.5860178719566697,0.7,Caution,False,True,3,QUAL,-0.004819281023669087
2021-03-25,67.47066063137626,3.0399795968114542,101565.79905466599,0.44393315920721027,0.5560668407927898,0.7,Caution,False,True,3,QUAL,0.0006647465204495104
2021-03-26,821.3706647224719,1.666887193982948,102387.16971938846,0.4275212645586409,0.5724787354413591,0.7,Caution,False,True,3,QUAL,0.008087079236981966
2021-03-29,-35.534682256123425,2.901971166683332,102351.63503713234,0.4558643780037799,0.5441356219962201,0.7,Caution,False,True,3,QUAL,-0.00034706186677015285
