date,trade_ret,net_pnl,portfolio_value,n_active,symbols_traded,stop_active,in_regime,daily_return
2020-01-02,0.0,0.0,100000.0,0,,False,False,0.0
2020-01-03,0.0,0.0,100000.0,0,,False,False,0.0
2020-01-06,0.0,-12.975217334876277,99987.02478266512,0,,False,False,-0.00012975217334876277
2020-01-07,0.0,0.0,99987.02478266512,0,,False,False,0.0
2020-01-08,0.0,25.950434669779764,100012.9752173349,0,,False,False,0.00025953802232026035
2020-01-09,0.0,0.0,100012.9752173349,0,,False,False,0.0
2020-01-10,0.0,0.0,100012.9752173349,0,,False,False,0.0
2020-01-13,0.0,0.0,100012.9752173349,0,,False,False,0.0
2020-01-14,0.0,0.0,100012.9752173349,0,,False,False,0.0
2020-01-15,0.0,12.97521733488801,100025.95043466978,0,,False,False,0.00012973533990656705
2020-01-16,0.0,25.950434669768303,100051.90086933954,0,,False,False,0.0002594370216628672
2020-01-17,0.0,-12.975217334898696,100038.92565200465,0,,False,False,-0.00012968486577624727
2020-01-21,0.0,12.97521733489031,100051.90086933954,0,,False,False,0.00012970168612191912
2020-01-22,0.0,0.0,100051.90086933954,0,,False,False,0.0
2020-01-23,0.0,12.975217334887589,100064.87608667443,0,,False,False,0.00012968486577613625
2020-01-24,0.0,0.0,100064.87608667443,0,,False,False,0.0
2020-01-27,0.0,12.9752173348792,100077.85130400931,0,,False,False,0.00012966804979241964
2020-01-28,0.0,0.0,100077.85130400931,0,,False,False,0.0
2020-01-29,0.0,0.0,100077.85130400931,0,,False,False,0.0
2020-01-30,0.0,0.0,100077.85130400931,0,,False,False,0.0
2020-01-31,-0.0007507507507507061,-95.14909226080438,99982.7022117485,1,SPY,False,True,-0.0009507507507507061
2020-02-03,0.002498480653656543,242.7711878712865,100225.47339961979,1,SPY,False,True,0.00242813189182598
2020-02-04,0.002095947834187206,190.02226922239657,100415.49566884218,1,SPY,False,True,0.0018959478341872061
2020-02-05,0.0,26.034611270118965,100441.5302801123,0,,False,False,0.00025926886180971387
2020-02-06,0.0,13.017305635063117,100454.54758574736,0,,False,False,0.00012960082944535323
2020-02-07,0.0,0.0,100454.54758574736,0,,False,False,0.0
2020-02-10,0.0,-13.01730563506056,100441.5302801123,0,,False,False,-0.0001295840352468769
2020-02-11,0.0,13.017305635063117,100454.54758574736,0,,False,False,0.00012960082944535323
2020-02-12,0.0,13.01730563506056,100467.56489138243,0,,False,False,0.0001295840352468769
2020-02-13,0.0,0.0,100467.56489138243,0,,False,False,0.0
2020-02-14,0.0,0.0,100467.56489138243,0,,False,False,0.0
2020-02-18,0.0,13.017305635047567,100480.58219701747,0,,False,False,0.00012956724540025277
2020-02-19,0.0,0.0,100480.58219701747,0,,False,False,0.0
2020-02-20,0.0,0.0,100480.58219701747,0,,False,False,0.0
2020-02-21,-0.0015156008039274305,-146.349956326179,100334.2322406913,1,SPY,False,True,-0.0014564998841191334
2020-02-24,0.0,-12.994978919909771,100321.23726177138,0,,False,False,-0.0001295169019556175
