Ticker,Alloc ($),Total P&L ($),Total Return (short),Ann. Return,Ann. Vol,Sharpe,Max Drawdown,Days
SPY,"$14,286","$19,333",135.33%,10.00%,17.54%,0.57,-38.64%,2263
EFA,"$14,286","$9,595",67.16%,5.89%,17.54%,0.34,-39.00%,2263
TLT,"$14,286",$-3,-0.02%,-0.00%,15.29%,-0.00,-61.45%,2263
IEF,"$14,286",$909,6.37%,0.69%,6.74%,0.10,-26.31%,2263
GLD,"$14,286","$13,531",94.72%,7.70%,14.25%,0.54,-23.05%,2263
DBC,"$14,286","$10,996",76.97%,6.56%,17.85%,0.37,-49.91%,2263
VNQ,"$14,286","$9,546",66.82%,5.86%,20.37%,0.29,-52.40%,2263
