date,net_pnl,transaction_cost,portfolio_value,invested_weight,cash_weight,gross_exposure,stop_active,in_regime,n_long,n_short,daily_return
2017-02-01,308.97516435120366,97.93138060057191,100308.9751643512,0.9793138060057192,0.020686193994280844,0.9793138060057192,False,True,3,0,0.0030897516435120366
2017-02-02,35.10680362506925,14.026843314053618,100344.08196797626,1.1191501794814858,0.0,1.1191501794814858,False,True,3,0,0.00034998666437924264
2017-02-03,427.88997324951066,0.5361549220284787,100771.97194122577,1.1138070151262667,0.0,1.1138070151262667,False,True,3,0,0.004264227295298406
2017-02-06,-568.5548226447879,0.5355836414383622,100203.41711858098,1.1191218227173172,0.0,1.1191218227173172,False,True,3,0,-0.005641993618785146
2017-02-07,-194.87305777597956,2.109486584187724,100008.544060805,1.1401738651011748,0.0,1.1401738651011748,False,True,3,0,-0.001944774573359842
2017-02-08,241.08773749024843,0.24187474149578345,100249.63179829525,1.1425924058745385,0.0,1.1425924058745385,False,True,3,0,0.0024106714056717493
2017-02-09,589.280195515826,1.1247349185222362,100838.91199381107,1.1538117480142205,0.0,1.1538117480142205,False,True,3,0,0.005878128277832184
2017-02-10,649.1719179886476,1.4795663144110665,101488.08391179971,1.1684843211822242,0.0,1.1684843211822242,False,True,3,0,0.006437712438116083
2017-02-13,-31.68281461239741,1.6640149759379625,101456.4010971873,1.1520881600586768,0.0,1.1520881600586768,False,True,3,0,-0.0003121826069741873
2017-02-14,169.66085424916557,0.49546402174206006,101626.06195143647,1.147204643431003,0.0,1.147204643431003,False,True,3,0,0.0016722538195164116
2017-02-15,413.31447624831634,1.2890007756272213,102039.37642768478,1.1598884053605283,0.0,1.1598884053605283,False,True,3,0,0.00406701261774578
2017-02-16,-169.20209254966434,1.2460328015217867,101870.17433513512,1.1476771115919424,0.0,1.1476771115919424,False,True,3,0,-0.0016582039059164222
2017-02-17,-131.52759314964925,2.0003485338871334,101738.64674198547,1.167313364763615,0.0,1.167313364763615,False,True,3,0,-0.0012911295578718063
2017-02-21,337.4821785414277,0.03399254570581848,102076.1289205269,1.1669792484096593,0.0,1.1669792484096593,False,True,3,0,0.003317148294662342
2017-02-22,-223.86096678079397,0.3465435400500436,101852.26795374611,1.1635842965858116,0.0,1.1635842965858116,False,True,3,0,-0.0021930785301926825
2017-02-23,232.27604168910042,3.2067189243379532,102084.5439954352,1.132100275770544,0.0,1.132100275770544,False,True,3,0,0.002280519092560329
2017-02-24,-321.16179871041,1.5811809072845031,101763.3821967248,1.1475892111705515,0.0,1.1475892111705515,False,True,3,0,-0.003146037452298134
